project_uuid,job_name,job_uuid,floors,weight,is_ff,brand_uuid
07bb9243-11c7-4752-b253-97344fa40f3a,E0001,e956a1f9-22ba-4235-9890-4e7c4b81fdbc,,,FALSE,
07bb9243-11c7-4752-b253-97344fa40f3a,E0002,61182326-4728-4d39-a2ea-1a419945279d,,,FALSE,
07bb9243-11c7-4752-b253-97344fa40f3a,P0001,d9e7ad74-58e5-4cd1-96eb-a413e23207fa,,,FALSE,
85114460-e291-4477-bab4-57c1a7da9ba1,P0001,76f9c599-4df9-4992-8baa-8a69358f557a,17,1600,TRUE,
85114460-e291-4477-bab4-57c1a7da9ba1,P0002,fea4d127-2915-4cdc-b0d1-064bd0fffa5d,17,1600,TRUE,
85114460-e291-4477-bab4-57c1a7da9ba1,P0003,343709f5-c971-4783-958d-485efcb4567f,17,1000,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,E0001,0fb0d90e-3749-4deb-a8f3-f22fbad5a5f9,2,6600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,E0002,729c9937-c219-4b3b-be6c-6cb5d033d5c8,2,6600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,E0003,983ab303-3244-49da-8b14-ad5f8d9ef236,2,4900,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,E0004,07b05aa2-4a21-4f00-974c-c5d468226c27,2,4900,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0001,040ca84f-8034-4ff3-907b-8ca4951ad677,11,2000,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0002,4a5a3690-96d2-4148-adfe-7b90a270666d,11,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0003,b1609908-1a51-40ab-9dce-b692ca8713a9,11,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0004,882e5c86-5045-470c-a9ec-c2df742d463e,11,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0005,f4e3da6d-67f0-464c-aa9f-fdfc79d08172,40,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0006,fbc6821c-f2a5-45e8-8c5e-3e0427755385,40,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0007,8acc7fd0-3240-4366-bd03-2d0a64b61fc2,40,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0008,cf61c903-d398-46c5-8cfa-2ab8613995e6,40,1600,TRUE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0009,da3e9562-d1e9-4e9f-bbf5-28336a852eac,40,1600,TRUE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0010,14cd01f9-e598-4539-87fc-7c35c603d2a8,42,1350,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0011,532a5968-da54-4d64-b1d3-a92faba4579b,42,1350,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0012,6915c6f1-9b5d-45df-a7be-687bd50435fe,43,1600,TRUE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0013,0c4cb6d4-2c55-4a8b-b250-40d03fb2565f,43,1600,TRUE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0014,1a1ebe21-c568-40a3-81a6-214e66fdee70,42,1600,FALSE,
2702712B-A1E7-43FA-8C75-F84D4BD6D43F,L0015,60f26c3b-74b9-4614-b879-d6a641c8050e,42,1600,FALSE,
ca9deb3d-d5ee-4c04-895a-eb76a052daa7,L0001,8946c18f-2a7d-4fea-bcd7-3399aa4e27b3,4,1050,FALSE,
ca9deb3d-d5ee-4c04-895a-eb76a052daa7,L0002,9bda2705-50f9-4dc0-9089-e629df901701,4,1200,FALSE,
ca9deb3d-d5ee-4c04-895a-eb76a052daa7,L0003,4808726e-5cd2-43a1-98c2-efe3e5523c26,2,1000,FALSE,
97467425-3024-4e47-a9e4-7fae80ccd880,DW0001,9744bd5d-ffb9-4993-a09e-526e3beb723f,2,,FALSE,
97467425-3024-4e47-a9e4-7fae80ccd880,DW0002,c59045d7-70bc-462f-9dce-6be930bcc6aa,2,,FALSE,
97467425-3024-4e47-a9e4-7fae80ccd880,L0001,b3ace415-638a-4c17-915d-0bfc68b0836f,5,1000,FALSE,57e563e9-cfc1-4f9b-885e-c9c59f076275
97467425-3024-4e47-a9e4-7fae80ccd880,L0002,5f17e7cd-16ae-4ece-88de-c9d032d1e9b6,5,1000,FALSE,57e563e9-cfc1-4f9b-885e-c9c59f076275
97467425-3024-4e47-a9e4-7fae80ccd880,L0003,0803f15f-a995-42b5-a6b9-32c3bd644aca,5,1275,FALSE,57e563e9-cfc1-4f9b-885e-c9c59f076275
97467425-3024-4e47-a9e4-7fae80ccd880,L0004,96011489-a1fb-4e4a-a73e-b5de1daadc0a,5,1600,FALSE,57e563e9-cfc1-4f9b-885e-c9c59f076275
97467425-3024-4e47-a9e4-7fae80ccd880,L0005,a6e1761f-fbb9-4137-b26a-58b4c50d247b,2,1000,FALSE,57e563e9-cfc1-4f9b-885e-c9c59f076275
97467425-3024-4e47-a9e4-7fae80ccd880,L0006,a8b0f63b-c169-4649-9f5e-7c47e5ff7ef1,2,800,FALSE,39f5db17-8285-4faa-bd5e-042c9a12c797
97467425-3024-4e47-a9e4-7fae80ccd880,PL0001,94ac06ad-fa44-446a-808e-347211403afd,2,,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0001,fda18a3d-c38a-3b46-7e3b-967bf0f7e3f3,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0002,0fe2fecb-e38e-5a2a-af59-2707cc11ff5b,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0003,a48f0b30-bf0e-4e70-40fb-ba45fbd86277,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0004,acc7bed8-3623-49a6-83fe-d7e45ff794f5,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0005,975636a9-e9ba-9b22-ee3f-75595e3b37d3,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0006,ae51a7d8-481e-4fcd-396e-f0e4a4101ac2,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0007,f756118c-6fa5-1c9c-bab1-9a1fb065732d,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0008,9b8e087d-58ac-dad5-a3e2-0bc197ef5a02,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0009,85f2678c-e9f1-0543-370f-755a97be4031,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0010,4b020636-dcdd-cfdc-8be1-c61499ef6b36,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0011,a9133d44-a9f1-3ce5-d6f6-3446b38d654f,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0012,e84ce413-5351-385f-8a37-e67ca1473b32,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0013,226c968e-45ab-8494-88db-abdb8b9dc50e,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0014,44b4142f-731c-52ba-fb85-4e33f0138057,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0015,0342f063-9d1c-25b0-adfc-702071043bf9,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0016,1520cc81-eb9e-e3e3-e06a-4bd8e494956b,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0017,43c0e815-31be-2216-4baf-2116849f6cd1,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0018,a9b19227-2944-4159-da1a-428d36c664ce,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0019,14d10525-caa0-5170-7a0a-4dbed7d239cc,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0020,03138921-356e-2526-14bd-071b017485cf,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0021,d476faf8-1f79-04cf-a749-00209578de88,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0022,a7343b28-45fe-e10d-cee0-22b996573a47,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0023,8b50c67a-d431-6acb-897c-548ad78b7060,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0024,dc9812df-2387-709b-7205-149d967624c1,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0025,5d5ae455-93b5-83e0-f8c5-fe9433a246ae,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0026,74db6761-09aa-68fc-748e-0fe754c7d8c3,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0027,2cece20c-b148-db85-5954-0a5efadaa7d5,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0028,3c708ae6-34c4-3773-1b44-860415dd15c5,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0029,74fb34d4-e362-d11e-edc1-ddd6d6a57b99,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0030,2499e67b-77ed-547d-79f9-57a5cadc9931,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0031,31c64f2b-1165-2341-58e6-30f871866247,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0032,7b6d6869-f4ca-8017-f60b-9529fe512dab,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0033,70f8e8f9-f645-ff52-f70c-118b6adc31c2,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0034,ed540089-f2ae-4ba9-d941-8b4dcf21bcc7,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0035,1389b9f6-6f29-2895-36fb-cdd0b1819ff3,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0036,f8ac25b1-3a85-6ff0-e9d0-a7351572fba4,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0037,19f5cac9-0ece-eb11-30a1-b9554062f58b,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0038,5c9f325a-d011-d654-909b-95874446d6a9,8,630,FALSE,
F3E662E0-2276-4959-AEF7-FAA08D2B5257,L0039,4ea18147-e5fe-c5e4-88e2-6b68cc3f81e3,8,630,FALSE,
3b17cc5c-76ef-4e87-af6f-ea83aed78933,L0001,d3de885a-2337-43d9-abe5-a6f5beca75c0,,,FALSE,
943A12D2-B154-408B-BD71-6FB3F860CAC8,L0001,35fdf976-6555-501f-3851-9698374d5eb8,,,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0001,8c7ef874-277e-9a5e-a9b4-cee6bcc0eb30,15,630,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0002,474c3524-01fa-11d5-0e66-e8e1da541609,15,1600,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0003,39bf85c9-4fba-bfeb-79ed-1aec97f0e476,15,1600,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0003,996e2f5e-5542-45b8-a4f4-f744d08a90ce,,,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0004,0564a8e3-3211-494a-7f97-8196c16e5529,14,630,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0005,77d5ba6f-3330-72d5-9965-16a768c2378f,17,630,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0005,ca2518c6-bff0-4f0c-84ba-29280804d451,,,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0006,6c5c23c5-85c5-bfa8-37a6-cf44a9dc92d8,17,1600,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0007,2d000909-1b86-5d82-5b93-322960d7bf28,17,1600,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0007,0ffc6674-a09d-49ab-b6a4-00fdd49e3293,,,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0008,895aad11-5489-e982-60d4-13fcb8eb6933,16,630,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0009,82e2f0fb-a314-42bd-5ea7-b83cff5be396,15,630,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0010,92516884-aa8f-9d3f-1a4f-64440e18f6ef,15,1600,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0011,b4f83256-8234-1b99-0d7d-bb7ca164aa46,15,1600,FALSE,
72A4E017-677E-4C04-8946-3A941DA81F07,L0012,bc7848f4-c0c2-2b86-3eee-6fe596a67d8b,14,630,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0001,58315691-f286-43b8-402f-2782e4dc0efd,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0002,359d1c28-e62f-83fb-1e12-f50b320661e1,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0003,a8a2272c-8c1c-5338-e429-64fe7f70db6b,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0004,8d8d0b6f-1c11-328f-0415-b127ac888878,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0005,a1eb49ba-a00b-1361-72ed-dad5f479160f,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0006,d7b512c3-3b2d-a8f0-c1a5-ce6ec6a761c4,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0007,c0c5068d-f2c2-0c21-361a-cb4c251e2ff8,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0010,24b76d06-3705-3c4d-6084-d8962f6181c7,,,FALSE,
07AEFB68-2673-4B70-A963-413918AF6741,L0010,331af0c6-b3b2-49f8-99ff-122d2f8d9ddb,,,FALSE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0001,b08eb4de-a335-426a-959d-67a1dc76d9fc,50,1350,FALSE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0002,29514922-9716-44c5-8f12-996a62af1f1f,50,1350,FALSE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0003,8a48e604-9c35-4683-b5f2-ca8708e8c0de,50,1350,FALSE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0004,37f4eac8-2d56-49ee-b617-c020b47d28f7,50,1350,FALSE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0005,b875cbfb-a468-448e-97a2-d32dc9a2c4c3,50,1350,FALSE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0006,5509a6bf-4359-4c1b-9092-ceab8833b2af,51,1600,TRUE,
A14A73A4-6449-4ED8-96BB-94AE30C5A311,L0007,480a51cb-91ca-4911-9ea5-73d3b475e167,51,1600,TRUE,
016A3ACC-14B7-48A0-A8C1-C5485BD40EDD,L0001,4d158aaf-7774-49b4-aa1e-9e6848fed502,31,1600,TRUE,
016A3ACC-14B7-48A0-A8C1-C5485BD40EDD,L0002,8f8b0e04-d1c5-43b5-9e3a-60462d7a1863,31,1600,TRUE,
016A3ACC-14B7-48A0-A8C1-C5485BD40EDD,L0003,fb064ea8-072c-4e27-8ed4-d2054e7787a4,31,800,FALSE,
016A3ACC-14B7-48A0-A8C1-C5485BD40EDD,L0004,0f51f894-25ac-4327-8ccf-f49cf7c3564f,3,630,FALSE,
016A3ACC-14B7-48A0-A8C1-C5485BD40EDD,L0005,1784a564-91fa-4fa6-8557-f2a477f84ed9,7,1000,FALSE,
CA21A428-93AA-4FDF-980E-486EC36530FC,L0001,5d7554b2-1e60-1a8b-f8ac-3a4df3468575,28,,FALSE,
CA21A428-93AA-4FDF-980E-486EC36530FC,L0002,f02ccae9-85d2-c69a-00b3-b92d02caa544,27,,FALSE,
CA21A428-93AA-4FDF-980E-486EC36530FC,L0003,0e4e6e14-1a52-0abf-679e-27819ee3192e,27,,FALSE,
CA21A428-93AA-4FDF-980E-486EC36530FC,L0004,684e7e4d-f989-d032-078a-cddb02a91a22,28,,FALSE,
f38187c6-ded0-4c0b-a01c-7b024ab809fb,L0801,a95c1fed-1fed-435e-9061-b72242803dbf,11,1275,FALSE,
