day,mismatch_rows,inflow_mismatch_rows,outflow_mismatch_rows,change_mismatch_rows,total_abs_inflow_diff,total_abs_outflow_diff,total_abs_change_diff
2026-03-12,1,1,1,0,471381.34,471381.34,0
2025-03-13,1,1,1,0,306328.78,306328.78,0
2024-03-14,1,1,1,0,243875.08,243875.08,0
2025-03-20,1,1,1,0,1031.57,1031.57,0
2024-03-21,1,1,1,0,6715.6,6715.6,0
2024-03-28,1,1,1,0,120385.27,120385.27,0
2025-05-01,1,1,1,0,15581.71,15581.71,0
2024-05-02,1,1,1,0,805.05,805.05,0
2025-05-08,1,1,1,0,13666.72,13666.72,0
2024-05-09,1,1,1,0,48748.4,48748.4,0
2025-05-15,1,1,1,0,21167.61,21167.61,0
2024-05-16,1,1,1,0,103959.05,103959.05,0
2025-05-22,1,1,1,0,15000,15000,0
2024-05-23,1,1,1,0,25988.41,25988.41,0
2025-05-29,1,1,1,0,10655,10655,0
2024-05-30,1,1,1,0,46566.9,46566.9,0
2024-10-31,1,1,1,0,343539.18,343539.18,0
2025-11-06,1,1,1,0,305827.39,305827.39,0
2024-11-07,1,1,1,0,61021.89,61021.89,0
2025-11-13,1,1,1,0,2130,2130,0
2024-11-14,1,1,1,0,546.68,546.68,0
2025-11-20,1,1,1,0,2987.97,2987.97,0
2024-11-21,1,1,1,0,6495,6495,0
2025-11-27,1,1,1,0,196350.38,196350.38,0
2024-11-28,1,1,1,0,63750,63750,0
2025-10-02,1,1,1,0,10750.78,10750.78,0
2024-10-03,1,1,1,0,146186.71,146186.71,0
2025-10-09,1,1,1,0,105510.61,105510.61,0
2024-10-10,1,1,1,0,63463.97,63463.97,0
2025-10-16,1,1,1,0,10698.88,10698.88,0
2024-10-17,1,1,1,0,3617.7,3617.7,0
2025-10-23,1,1,1,0,999.2,999.2,0
2024-10-24,1,1,1,0,1800,1800,0
2025-10-30,1,1,1,0,7100,7100,0
2025-09-04,1,1,1,0,48684.17,48684.17,0
